date,weight
2021-09-06,0.445
2021-09-07,0.465
2021-09-08,0.48
2021-09-09,0.495
2021-09-10,0.52
2021-09-11,0.565
2021-09-12,0.645
2021-09-13,0.74
2021-09-14,0.725
2021-09-15,0.83
2021-09-16,1
2021-09-17,1.03
2021-09-18,1.16
2021-09-19,1.305
2021-09-20,1.342
2021-09-21,1.47
2021-09-22,1.59
2021-09-23,1.67
2021-09-24,1.8
2021-09-25,1.93
2021-09-26,2.06
2021-09-27,2.18
2021-09-28,2.35
2021-09-29,2.56
2021-09-30,2.72
2021-10-01,2.885
2021-10-02,3.16
2021-10-03,3.3
2021-10-04,3.47
2021-10-05,3.56
2021-10-06,3.745
2021-10-08,4.03
2021-10-10,4.3
2021-10-11,4.56
2021-10-12,4.69
2021-10-14,4.96
2021-10-16,5.15
2021-10-18,5.555
2021-10-21,6.085
2021-10-24,6.665
2021-10-25,7
2021-10-26,7.35
2021-10-28,7.7
2021-11-01,8.265
2021-11-02,8.56
2021-11-05,9.1
2021-11-12,9.88
2021-11-17,12
2021-12-11,17.2
2021-12-17,18.9
2022-01-15,23.9
2022-02-15,28.7
2022-03-15,33.9
2022-04-15,36.3
2022-05-16,38.1
2022-06-08,39.2
2022-09-03,39
2022-09-15,39.3
2022-09-27,39.3
2022-12-15,40.3
2023-03-15,39.4
2023-06-16,39
2023-09-15,37.5
